5.71.65915,	-8.36104
3.822	-9.03281
3.70587,	2.40921,	-8.76798
3.73498,	2.15395,	-8.76804
3.76411,	1.90263,	-8.62955
3.79323,	1.65915,	-8.36104
3.8223-9.03281
3.70587,	2.40921,	-8.76798
3.73498,	2.15395,	-8.76804
3.76411,	1.90263,	-8.62955
3.79323,	1.65915,	-8.36104
3.82230.00501,	0.00000,	0.00000
0.01002,	0.00000,	0.00000
0.01507,	0.00000,	0.00000
0.02200,	0.00000,	0.00000
0.05026,	-0.00196,	-0.06949
0.08040,	-0.00196,	0.00000
0.10952,	0.00589,	0.26967
0.13760,	0.02160,	0.55948
0.16568,	0.05694,	1.25865
0.19376,	0.11585,	2.09745
0.22184,	0.19831,	2.93685
0.24993,	0.30434,	3.77541
0.27802,	0.43393,	4.61373
0.30609,	0.58316,	5.31581
0.33418,	0.74809,	5.87202
0.36225,	0.93266,	6.57389
0.39034,	1.12901,	6.98951
0.41842,	1.33714,	7.41416
0.44650,	1.55705,	7.83048
0.47457,	1.78482,	8.11361
0.50266,	2.01651,	8.24998
0.53075,	2.25998,	8.66699
0.55883,	2.50345,	8.67071
0.58691,	2.75478,	8.94912
0.61498,	3.00218,	8.81306
0.64306,	3.24958,	8.81054
0.67115,	3.49306,	8.66946
0.69923,	3.73260,	8.53085
0.72730,	3.97215,	8.53208
0.75538,	4.20777,	8.39099
0.78347,	4.44339,	8.38861
0.81154,	4.67115,	8.11360
0.83962,	4.89499,	7.97147
0.86770,	5.11490,	7.83271
0.89578,	5.32696,	7.55188
0.92386,	5.53509,	7.41205
0.95194,	5.73144,	6.99251
0.98002,	5.91993,	6.71281
1.00810,	6.09665,	6.29324
1.03618,	6.25765,	5.73305
1.06425,	6.37546,	4.19727
1.09233,	6.43830,	2.23793
1.12042,	6.45793,	0.69904
1.14849,	6.45204,	-0.20982
1.17761,	6.41277,	-1.34852
1.20673,	6.34994,	-2.15800
1.23585,	6.25569,	-3.23652
1.26497,	6.13788,	-4.04512
1.29410,	5.99258,	-4.98759
1.32322,	5.82765,	-5.66392
1.35233,	5.64308,	-6.34080
1.38147,	5.44281,	-6.87289
1.41058,	5.22682,	-7.42011
1.43970,	4.99906,	-7.82161
1.46882,	4.75951,	-8.22619
1.49794,	4.51211,	-8.49590
1.52706,	4.25685,	-8.76557
1.55619,	3.99375,	-9.03284
1.58531,	3.73064,	-9.03406
1.61442,	3.46360,	-9.17268
1.64355,	3.20050,	-9.03284
1.67267,	2.94131,	-8.90167
1.70179,	2.68213,	-8.90046
1.73090,	2.43081,	-8.63191
1.76003,	2.17948,	-8.62955
1.78915,	1.93208,	-8.49472
1.81826,	1.68860,	-8.36333
1.84739,	1.45299,	-8.09020
1.87650,	1.22129,	-7.95865
1.90562,	0.99745,	-7.68570
1.93474,	0.78147,	-7.41808
1.96386,	0.57334,	-7.14731
1.99298,	0.38092,	-6.60884
2.02211,	0.20028,	-6.20076
2.05124,	0.03534,	-5.66240
